sale_date,class_id,sale_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track,price_lower,price_upper,year,month,time_index,mini_class_id
2015-03-01,103507,6,831,2,1,3,3,7.0,4,1.6,1,,1,1,1,3,2,1,117.7,4,250.0,4270,1780,1630,1880,1426,5.0,2590,1557,1570,10,15,2015,3,39,14.0
2015-03-01,103507,17,831,2,1,3,3,6.0,1,2.0,0,,3,1,1,3,2,1,118.0,4,192.0,4270,1780,1630,1930,1510,5.0,2590,1557,1570,10,15,2015,3,39,8.0
2015-03-01,103507,35,831,2,1,3,3,6.0,1,1.6,0,,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5.0,2590,1557,1570,10,15,2015,3,39,1.0
2015-04-01,103507,174,831,2,1,3,3,6.0,1,1.6,0,13.9,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5.0,2590,1557,1570,10,15,2015,4,40,1.0
2015-04-01,103507,6,831,2,1,3,3,6.0,5,1.6,0,13.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5.0,2590,1557,1570,10,15,2015,4,40,10.0
2015-04-01,103507,12,831,2,1,3,3,7.0,4,1.6,1,13.9,1,1,1,3,2,1,117.7,4,250.0,4270,1780,1630,1880,1426,5.0,2590,1557,1570,10,15,2015,4,40,14.0
2015-04-01,103507,6,831,2,1,3,3,6.0,1,2.0,0,13.9,1,1,1,1,2,1,118.0,4,192.0,4270,1780,1630,1860,1425,5.0,2590,1557,1570,10,15,2015,4,40,2.0
2015-04-01,103507,17,831,2,1,3,3,6.0,5,1.6,0,13.9,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5.0,2590,1557,1570,10,15,2015,4,40,11.0
2015-04-01,103507,17,831,2,1,3,3,6.0,1,1.6,0,13.9,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5.0,2590,1557,1570,10,15,2015,4,40,0.0
2015-05-01,103507,162,831,2,1,3,3,6.0,1,1.6,0,15.7,1,1,1,3,2,1,91.6,4,150.7,4270,1780,1630,1830,1325,5.0,2590,1557,1570,10,15,2015,5,41,1.0
