class_id,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track,price_lower,price_upper,mini_class_id,record_num,first_time,last_time
103507.0,831.0,2.0,1.0,3.0,3.0,6.0,1.0,1.6,0.0,1.0,1.0,1.0,1.0,2.0,1.0,91.6,4.0,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5.0,2590.0,1557.0,1570.0,10.0,15.0,0,31.0,40.0,70.0
103507.0,831.0,2.0,1.0,3.0,3.0,6.0,1.0,1.6,0.0,1.0,1.0,1.0,3.0,2.0,1.0,91.6,4.0,150.7,4270.0,1780.0,1630.0,1830.0,1325.0,5.0,2590.0,1557.0,1570.0,10.0,15.0,1,13.0,39.0,51.0
103507.0,831.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,118.0,4.0,192.0,4270.0,1780.0,1630.0,1860.0,1425.0,5.0,2590.0,1557.0,1570.0,10.0,15.0,2,3.0,40.0,45.0
103507.0,831.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,118.0,4.0,192.0,4270.0,1780.0,1630.0,1860.0,1425.0,5.0,2590.0,1557.0,1570.0,15.0,20.0,3,3.0,49.0,53.0
103507.0,831.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,118.0,4.0,192.0,4270.0,1780.0,1630.0,1860.0,1425.0,5.0,2590.0,1557.0,1570.0,10.0,15.0,4,5.0,41.0,47.0
103507.0,831.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,118.0,4.0,192.0,4270.0,1780.0,1630.0,1860.0,1425.0,5.0,2590.0,1557.0,1570.0,15.0,20.0,5,1.0,51.0,51.0
103507.0,831.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,118.0,4.0,192.0,4270.0,1780.0,1630.0,1930.0,1510.0,5.0,2590.0,1557.0,1570.0,10.0,15.0,6,3.0,43.0,47.0
103507.0,831.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,118.0,4.0,192.0,4270.0,1780.0,1630.0,1930.0,1510.0,5.0,2590.0,1557.0,1570.0,15.0,20.0,7,5.0,49.0,55.0
103507.0,831.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,118.0,4.0,192.0,4270.0,1780.0,1630.0,1930.0,1510.0,5.0,2590.0,1557.0,1570.0,10.0,15.0,8,3.0,39.0,42.0
103507.0,831.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,118.0,4.0,192.0,4270.0,1780.0,1630.0,1930.0,1510.0,5.0,2590.0,1557.0,1570.0,15.0,20.0,9,3.0,49.0,51.0
