predict_date,class_id,predict_quantity
201711,103507,384.37134
201711,124140,261.68478
201711,125403,217.41052
201711,136916,190.7207
201711,169673,171.32326
201711,175962,294.7334
201711,178529,206.09174
201711,186250,187.22543
201711,194201,308.894
201711,194450,293.6875
201711,198427,120.40086
201711,206765,2620.9563
201711,209945,298.67432
201711,219195,208.38084
201711,221795,313.93268
201711,245609,143.61539
201711,248352,481.94513
201711,249875,166.54709
201711,250658,277.58203
201711,265980,151.7684
201711,270690,894.10266
201711,281301,481.6502
201711,281792,481.58072
201711,289386,440.1353
201711,289403,305.409
201711,290854,194.59856
201711,291086,532.18945
201711,291514,68.76683
201711,302513,137.10448
201711,304458,597.4203
201711,308913,200.96945
201711,321683,2612.7712
201711,340175,131.8006
201711,347384,2727.5283
201711,348641,500.77872
201711,349023,1393.3623
201711,350259,762.3217
201711,354068,808.32367
201711,356986,375.9736
201711,359378,92.13837
201711,360648,191.64102
201711,376193,200.96983
201711,378356,584.44885
201711,378536,116.53975
201711,379265,400.0581
201711,379876,181.29208
201711,384924,722.77893
201711,392593,298.33844
201711,395234,36.49691
201711,401052,151.49525
201711,409854,1551.3839
201711,412240,98.448685
201711,416749,239.40582
201711,417803,115.62839
201711,425432,2073.7375
201711,436105,263.10138
201711,437063,119.201996
201711,437598,189.9128
201711,453752,308.98712
201711,468392,225.51529
201711,472603,138.30278
201711,475895,114.3235
201711,481950,165.37654
201711,482497,209.95221
201711,492952,362.476
201711,496459,413.76825
201711,501564,187.01778
201711,510309,138.00565
201711,516750,152.88165
201711,526401,292.27463
201711,527765,52.501625
201711,527809,257.32925
201711,540712,311.17017
201711,559132,174.33743
201711,560265,127.150665
201711,569154,323.8371
201711,576298,256.79816
201711,580470,446.5204
201711,580634,280.2786
201711,587678,241.62164
201711,591790,353.38647
201711,597927,378.1455
201711,603972,463.10352
201711,612523,121.93603
201711,614059,413.8731
201711,619401,338.0149
201711,621073,1416.4357
201711,628041,798.26794
201711,649213,121.86511
201711,651347,211.02805
201711,651782,110.64156
201711,653436,231.44014
201711,654134,631.4907
201711,671482,94.96211
201711,682651,336.13397
201711,683364,77.74083
201711,687270,671.0201
201711,692703,577.77826
201711,693436,314.7272
201711,713651,281.83728
201711,714150,175.00656
201711,714152,508.9577
201711,714860,288.85522
201711,725137,145.30988
201711,732758,206.98764
201711,735971,2470.672
201711,736094,263.45914
201711,739296,1088.3549
201711,741152,637.22516
201711,743957,1063.5667
201711,745137,946.2471
201711,750340,113.94995
201711,760412,35.64061
201711,786351,268.78497
201711,789290,96.23269
201711,810398,79.552475
201711,815230,165.5236
201711,819061,204.16438
201711,842246,174.05957
201711,851857,202.17998
201711,854079,260.01093
201711,854548,102.16436
201711,861459,358.5089
201711,871642,159.5087
201711,872180,267.71716
201711,883691,341.27768
201711,890189,976.97
201711,905061,244.52515
201711,905745,193.80841
201711,914348,707.0271
201711,923841,572.5802
201711,924154,1140.5966
201711,948936,71.795555
201711,950264,1591.3972
201711,953842,1132.5084
201711,961362,99.43865
201711,961962,192.83243
201711,963845,203.48853
201711,973106,200.83727
201711,978089,493.09735
