predict_date,class_id,predict_quantity
201711,103507,295.9922316269111
201711,124140,275.5619715429382
201711,125403,239.14588197638943
201711,136916,178.6895462395072
201711,169673,149.13238923469285
201711,175962,228.3861020463927
201711,178529,150.59219459355216
201711,186250,124.84231352930345
201711,194201,382.60444340528534
201711,194450,342.4484873994147
201711,198427,170.577659237716
201711,206765,2077.368258108048
201711,209945,256.40103881609724
201711,219195,171.02878639100015
201711,221795,342.6558893805765
201711,245609,136.1137190239385
201711,248352,326.50298695883515
201711,249875,197.77191991360286
201711,250658,197.17434379673762
201711,265980,215.11416453269473
201711,270690,731.8705530863788
201711,281301,531.9968772629974
201711,281792,427.3757417967183
201711,289386,351.7588659974639
201711,289403,307.25828803259515
201711,290854,212.51549568452577
201711,291086,311.4456695933641
201711,291514,62.8773258307294
201711,302513,146.99111618867573
201711,304458,539.6321391908558
201711,308913,168.8493975374941
201711,321683,2026.9447154569164
201711,340175,111.06228253064243
201711,347384,3055.3350308919735
201711,348641,375.3202344820261
201711,349023,880.7534986337116
201711,350259,561.1537180762582
201711,354068,709.6783714015343
201711,356986,425.3200279417733
201711,359378,158.25669660062402
201711,360648,156.76987426223036
201711,376193,218.6832446672075
201711,378356,489.7326623401785
201711,378536,157.32346081060044
201711,379265,309.47436242840985
201711,379876,134.47232784682237
201711,384924,780.0641194269787
201711,392593,290.27727527848975
201711,395234,56.07681950791463
201711,401052,161.49140386620647
201711,409854,1806.8522673255482
201711,412240,91.33081580569532
201711,416749,299.00721232230904
201711,417803,98.57939992914154
201711,425432,1921.7270554640538
201711,436105,333.93818256604885
201711,437063,123.11099749809257
201711,437598,175.78229424082255
201711,453752,300.9138574872492
201711,468392,213.27220806925243
201711,472603,104.99739427540064
201711,475895,66.74923629769081
201711,481950,145.04976382807934
201711,482497,221.69523954987974
201711,492952,255.55526743399773
201711,496459,376.67995147230687
201711,501564,218.69744942851713
201711,510309,147.5266134951726
201711,516750,121.00186890220034
201711,526401,327.7381435175359
201711,527765,38.449447516227615
201711,527809,226.72097257479237
201711,540712,382.5457014452178
201711,559132,141.96396662209014
201711,560265,117.51403766600357
201711,569154,393.01351506474305
201711,576298,233.61387521668348
201711,580470,442.43238579792006
201711,580634,293.707825381486
201711,587678,253.77684896755557
201711,591790,240.76224749775147
201711,597927,245.39789884978512
201711,603972,424.8659364611173
201711,612523,127.97873509664194
201711,614059,416.11994435654526
201711,619401,337.6815586466641
201711,621073,1193.2330524692848
201711,628041,715.4501305411194
201711,649213,126.09901492796772
201711,651347,194.30938755274536
201711,651782,105.55087499019936
201711,653436,248.63213566843015
201711,654134,545.656286258398
201711,671482,86.02345024175011
201711,682651,361.8213030707759
201711,683364,97.78547390348012
201711,687270,505.4309327749555
201711,692703,546.227447960377
201711,693436,266.5164087443854
201711,713651,243.91786447422783
201711,714150,218.66703915153016
201711,714152,650.3347088971999
201711,714860,292.88150384812036
201711,725137,147.86506245673812
201711,732758,248.11145176260396
201711,735971,2012.619589217826
201711,736094,299.3084912959481
201711,739296,833.5490652092975
201711,741152,641.0449097974869
201711,743957,896.520538419603
201711,745137,967.7602708459982
201711,750340,123.46048147087205
201711,760412,36.50371438384241
201711,786351,142.72969974952997
201711,789290,64.15618185029653
201711,810398,45.272145383522194
201711,815230,187.7914598073906
201711,819061,135.60023951280104
201711,842246,165.3376303654802
201711,851857,201.34796517419383
201711,854079,181.30365533802524
201711,854548,111.03794544460656
201711,861459,260.8924917785188
201711,871642,177.14978634395888
201711,872180,214.44534943002537
201711,883691,375.6761601940302
201711,890189,1176.6974016588292
201711,905061,296.4383616401875
201711,905745,224.45760755571996
201711,914348,548.9776711173478
201711,923841,632.6785015043303
201711,924154,1097.3800980942945
201711,948936,50.371002436871905
201711,950264,1097.5471094620682
201711,953842,1066.7970210277902
201711,961362,106.54815490312927
201711,961962,107.80098681374689
201711,963845,249.540296421043
201711,973106,225.15409000859435
201711,978089,421.87365556403466
